Week,device,User_Engagement
33,"nexus 10",23
33,"nexus 5",70
33,"nexus 7",30
33,"nokia lumia 635",27
33,"samsumg galaxy tablet",12
33,"samsung galaxy note",13
33,"samsung galaxy s4",80
33,"windows surface",15
34,"acer aspire desktop",30
34,"acer aspire notebook",63
34,"amazon fire phone",11
34,"asus chromebook",47
34,"dell inspiron desktop",49
34,"dell inspiron notebook",105
34,"hp pavilion desktop",36
34,"htc one",25
34,"ipad air",39
34,"ipad mini",25
34,"iphone 4s",50
34,"iphone 5",101
34,"iphone 5s",70
34,"kindle fire",13
34,"lenovo thinkpad",193
34,"mac mini",30
34,"macbook air",136
34,"macbook pro",292
34,"nexus 10",25
34,"nexus 5",70
34,"nexus 7",33
34,"nokia lumia 635",17
34,"samsumg galaxy tablet",14
34,"samsung galaxy note",13
34,"samsung galaxy s4",90
34,"windows surface",18
35,"acer aspire desktop",1
35,"acer aspire notebook",3
35,"asus chromebook",6
35,"dell inspiron desktop",1
35,"dell inspiron notebook",9
35,"hp pavilion desktop",1
35,"htc one",2
35,"ipad mini",2
35,"iphone 4s",6
35,"iphone 5",2
35,"iphone 5s",3
35,"kindle fire",3
35,"lenovo thinkpad",16
35,"mac mini",2
35,"macbook air",10
35,"macbook pro",17
35,"nexus 10",2
35,"nexus 5",4
35,"nexus 7",2
35,"nokia lumia 635",2
35,"samsung galaxy note",1
35,"samsung galaxy s4",6
35,"windows surface",3
